,Unnamed: 0,filename,rank,age,identity,fold,database
0,160900,14_Margot_Robbie_0012.jpg,13,14,1963,train,CACD
1,162166,14_Kay_Panabaker_0010.jpg,32,14,1982,train,CACD
2,160338,14_Liam_Hemsworth_0013.jpg,6,14,1956,train,CACD
3,161173,14_Thomas_Brodie-Sangster_0012.jpg,17,14,1967,train,CACD
4,162163,14_Kay_Panabaker_0005.jpg,32,14,1982,train,CACD
5,161799,14_Ella_Rae_Peck_0001.jpg,26,14,1976,train,CACD
6,162255,14_Diego_Boneta_0002.jpg,33,14,1983,train,CACD
7,161801,14_Ella_Rae_Peck_0011.jpg,26,14,1976,train,CACD
8,162338,14_Carly_Chaikin_0005.jpg,34,14,1984,train,CACD
9,161217,14_Rachel_Hurd-Wood_0006.jpg,18,14,1968,train,CACD
10,163137,14_Luke_Kleintank_0001.jpg,46,14,1996,train,CACD
11,160899,14_Margot_Robbie_0011.jpg,13,14,1963,train,CACD
12,161311,15_Samantha_Barks_0019.jpg,19,15,1969,train,CACD
13,162177,15_Kay_Panabaker_0014.jpg,32,15,1982,train,CACD
14,156868,15_Ashley_Benson_0012.jpg,14,15,1914,train,CACD
15,158599,15_Lindsey_Shaw_0002.jpg,35,15,1935,train,CACD
16,160517,15_Britt_Robertson_0017.jpg,8,15,1958,train,CACD
17,159553,15_Ali_Cobrin_0004.jpg,48,15,1948,train,CACD
18,163028,15_Carly_Schroeder_0008.jpg,44,15,1994,train,CACD
19,161054,15_Daveigh_Chase_0004.jpg,15,15,1965,train,CACD
20,161303,15_Samantha_Barks_0006.jpg,19,15,1969,train,CACD
21,158840,15_Chord_Overstreet_0005.jpg,39,15,1939,train,CACD
22,160348,15_Liam_Hemsworth_0013.jpg,6,15,1956,train,CACD
23,161639,15_Cassie_Scerbo_0010.jpg,23,15,1973,train,CACD
24,162022,15_Connor_Paolo_0007.jpg,30,15,1980,train,CACD
25,162024,15_Connor_Paolo_0010.jpg,30,15,1980,train,CACD
26,157860,15_Jeremy_Sumpter_0003.jpg,25,15,1925,train,CACD
27,156662,15_Imogen_Poots_0018.jpg,12,15,1912,train,CACD
28,157763,15_Aimee_Teegarden_0011.jpg,24,15,1924,train,CACD
29,160905,15_Margot_Robbie_0007.jpg,13,15,1963,train,CACD
30,160341,15_Liam_Hemsworth_0002.jpg,6,15,1956,train,CACD
